"","cell_id","milestone_id","log_tauGFP_intensity","experiment","time_point"
"35","1_iN1_C41","d2_intermediate",0,"iN1","2"
"36","1_iN1_C42","d2_induced",0,"iN1","2"
"37","1_iN1_C43","d2_induced",0,"iN1","2"
"38","1_iN1_C44","d2_induced",0,"iN1","2"
"39","1_iN1_C46","d2_induced",0,"iN1","2"
"40","1_iN1_C47","d2_intermediate",0,"iN1","2"
"41","1_iN1_C48","d2_induced",0,"iN1","2"
"42","1_iN1_C49","d2_induced",0,"iN1","2"
"43","1_iN1_C51","d2_intermediate",0,"iN1","2"
"44","1_iN1_C52","MEF",0,"iN1","2"
"45","1_iN1_C53","MEF",0,"iN1","2"
"46","1_iN1_C54","d2_induced",0,"iN1","2"
"47","1_iN1_C55","d2_induced",0,"iN1","2"
"48","1_iN1_C56","MEF",0,"iN1","2"
"49","1_iN1_C57","d2_induced",0,"iN1","2"
"50","1_iN1_C58","d2_intermediate",0,"iN1","2"
"51","1_iN1_C60","d2_induced",0,"iN1","2"
"52","1_iN1_C61","d2_induced",0,"iN1","2"
"53","1_iN1_C62","d2_induced",0,"iN1","2"
"54","1_iN1_C64","d2_induced",0,"iN1","2"
"55","1_iN1_C66","d2_induced",0,"iN1","2"
"56","1_iN1_C67","d2_intermediate",0,"iN1","2"
"57","1_iN1_C68","d2_induced",0,"iN1","2"
"58","1_iN1_C69","d2_intermediate",0,"iN1","2"
"59","1_iN1_C70","d2_induced",0,"iN1","2"
"60","1_iN1_C71","d2_induced",0,"iN1","2"
"61","1_iN1_C72","d2_induced",0,"iN1","2"
"62","1_iN1_C73","MEF",0,"iN1","2"
"63","1_iN1_C74","d2_induced",0,"iN1","2"
"64","1_iN1_C75","d2_intermediate",0,"iN1","2"
"65","1_iN1_C78","d2_induced",0,"iN1","2"
"66","1_iN1_C79","d2_induced",0,"iN1","2"
"67","1_iN1_C80","MEF",0,"iN1","2"
"68","1_iN1_C81","MEF",0,"iN1","2"
"69","1_iN1_C82","MEF",0,"iN1","2"
"70","1_iN1_C83","d2_induced",0,"iN1","2"
"71","1_iN1_C84","d2_induced",0,"iN1","2"
"72","1_iN1_C85","d2_intermediate",0,"iN1","2"
"73","1_iN1_C87","d2_induced",0,"iN1","2"
"74","1_iN1_C88","d2_intermediate",0,"iN1","2"
"75","1_iN1_C89","d2_induced",0,"iN1","2"
"76","1_iN1_C91","d2_induced",0,"iN1","2"
"77","1_iN1_C92","d2_induced",0,"iN1","2"
"78","1_iN1_C93","d2_induced",0,"iN1","2"
"79","1_iN1_C94","d2_intermediate",0,"iN1","2"
"80","1_iN1_C95","d2_intermediate",0,"iN1","2"
"81","1_iN1_C96","d2_induced",0,"iN1","2"
"82","1_iN2_C02","MEF",0,"iN2","0"
"83","1_iN2_C05","MEF",0,"iN2","0"
"84","1_iN2_C07","MEF",0,"iN2","0"
"85","1_iN2_C08","MEF",0,"iN2","0"
"86","1_iN2_C09","MEF",0,"iN2","0"
"87","1_iN2_C12","MEF",0,"iN2","0"
"88","1_iN2_C13","MEF",0,"iN2","0"
"89","1_iN2_C14","MEF",0,"iN2","0"
"90","1_iN2_C15","MEF",0,"iN2","0"
"91","1_iN2_C16","MEF",0,"iN2","0"
"92","1_iN2_C17","MEF",0,"iN2","0"
"93","1_iN2_C18","MEF",0,"iN2","0"
"94","1_iN2_C19","MEF",0,"iN2","0"
"95","1_iN2_C20","MEF",0,"iN2","0"
"96","1_iN2_C22","MEF",0,"iN2","0"
"97","1_iN2_C23","MEF",0,"iN2","0"
"98","1_iN2_C24","MEF",0,"iN2","0"
"99","1_iN2_C25","MEF",0,"iN2","0"
"100","1_iN2_C26","MEF",0,"iN2","0"
"101","1_iN2_C27","MEF",0,"iN2","0"
"102","1_iN2_C28","MEF",0,"iN2","0"
"103","1_iN2_C29","MEF",0,"iN2","0"
"104","1_iN2_C30","MEF",0,"iN2","0"
"105","1_iN2_C31","MEF",0,"iN2","0"
"106","1_iN2_C32","MEF",0,"iN2","0"
"107","1_iN2_C33","MEF",0,"iN2","0"
"108","1_iN2_C35","MEF",0,"iN2","0"
"109","1_iN2_C36","MEF",0,"iN2","0"
"110","1_iN2_C37","MEF",0,"iN2","0"
"111","1_iN2_C38","MEF",0,"iN2","0"
"112","1_iN2_C39","MEF",0,"iN2","0"
"113","1_iN2_C40","MEF",0,"iN2","0"
"114","1_iN2_C41","MEF",0,"iN2","0"
"115","1_iN2_C42","MEF",0,"iN2","0"
"116","1_iN2_C44","MEF",0,"iN2","0"
"117","1_iN2_C47","MEF",0,"iN2","0"
"118","1_iN2_C48","MEF",0,"iN2","0"
"119","1_iN2_C49","MEF",0,"iN2","0"
"120","1_iN2_C50","MEF",0,"iN2","0"
"121","1_iN2_C51","MEF",0,"iN2","0"
"122","1_iN2_C53","MEF",0,"iN2","0"
"123","1_iN2_C55","MEF",0,"iN2","0"
"124","1_iN2_C56","MEF",0,"iN2","0"
"125","1_iN2_C57","MEF",0,"iN2","0"
"126","1_iN2_C58","MEF",0,"iN2","0"
"127","1_iN2_C60","MEF",0,"iN2","0"
"128","1_iN2_C61","MEF",0,"iN2","0"
"129","1_iN2_C62","MEF",0,"iN2","0"
"130","1_iN2_C64","MEF",0,"iN2","0"
"131","1_iN2_C65","MEF",0,"iN2","0"
"132","1_iN2_C66","MEF",0,"iN2","0"
"133","1_iN2_C67","MEF",0,"iN2","0"
"134","1_iN2_C68","MEF",0,"iN2","0"
"135","1_iN2_C69","MEF",0,"iN2","0"
"136","1_iN2_C71","MEF",0,"iN2","0"
"137","1_iN2_C74","MEF",0,"iN2","0"
"138","1_iN2_C76","MEF",0,"iN2","0"
"139","1_iN2_C77","MEF",0,"iN2","0"
"140","1_iN2_C79","MEF",0,"iN2","0"
"141","1_iN2_C80","MEF",0,"iN2","0"
"142","1_iN2_C81","MEF",0,"iN2","0"
"143","1_iN2_C82","MEF",0,"iN2","0"
"144","1_iN2_C83","MEF",0,"iN2","0"
"145","1_iN2_C84","MEF",0,"iN2","0"
"146","1_iN2_C85","MEF",0,"iN2","0"
"147","1_iN2_C86","MEF",0,"iN2","0"
"148","1_iN2_C87","MEF",0,"iN2","0"
"149","1_iN2_C88","MEF",0,"iN2","0"
"150","1_iN2_C89","MEF",0,"iN2","0"
"151","1_iN2_C90","MEF",0,"iN2","0"
"152","1_iN2_C92","MEF",0,"iN2","0"
"153","1_iN2_C96","MEF",0,"iN2","0"
"154","1_iN3_C02","d5_intermediate",7.783391171,"iN3","5"
"155","1_iN3_C03","d5_intermediate",0,"iN3","5"
"156","1_iN3_C05","d5_earlyiN",8.424922088,"iN3","5"
"157","1_iN3_C06","d5_earlyiN",4.155425432,"iN3","5"
"158","1_iN3_C09","d5_intermediate",6.658211483,"iN3","5"
"159","1_iN3_C10","d5_earlyiN",4.714795011,"iN3","5"
"160","1_iN3_C11","d5_intermediate",6.868884273,"iN3","5"
"161","1_iN3_C12","d5_intermediate",3.933572638,"iN3","5"
"162","1_iN3_C13","d5_earlyiN",2.121015401,"iN3","5"
"163","1_iN3_C14","d5_earlyiN",7.411765185,"iN3","5"
"164","1_iN3_C15","d5_intermediate",6.677508242,"iN3","5"
"165","1_iN3_C17","d5_earlyiN",7.009548727,"iN3","5"
"166","1_iN3_C18","d5_intermediate",6.065873847,"iN3","5"
"167","1_iN3_C22","d5_intermediate",3.527320608,"iN3","5"
"168","1_iN3_C23","d5_earlyiN",7.454422683,"iN3","5"
"169","1_iN3_C24","d5_intermediate",4.032982417,"iN3","5"
"170","1_iN3_C25","d5_intermediate",4.965784285,"iN3","5"
"171","1_iN3_C30","d5_earlyiN",4.948133578,"iN3","5"
"172","1_iN3_C32","d5_intermediate",0,"iN3","5"
"173","1_iN3_C35","d5_earlyiN",6.104546339,"iN3","5"
"174","1_iN3_C36","d5_intermediate",8.010835773,"iN3","5"
"175","1_iN3_C37","d5_intermediate",0,"iN3","5"
"176","1_iN3_C38","d5_intermediate",7.205353411,"iN3","5"
"177","1_iN3_C39","d5_earlyiN",6.275007047,"iN3","5"
"178","1_iN3_C42","d5_intermediate",3.310340121,"iN3","5"
"179","1_iN3_C43","d5_intermediate",7.142209191,"iN3","5"
"180","1_iN3_C44","d5_intermediate",7.310249222,"iN3","5"
"181","1_iN3_C45","d5_intermediate",7.330110177,"iN3","5"
"182","1_iN3_C49","d5_intermediate",4.066950244,"iN3","5"
"183","1_iN3_C50","d5_intermediate",7.291953434,"iN3","5"
"184","1_iN3_C54","d5_earlyiN",5.258895755,"iN3","5"
"185","1_iN3_C58","d5_intermediate",6.968781974,"iN3","5"
"186","1_iN3_C60","d5_earlyiN",7.664909442,"iN3","5"
"187","1_iN3_C61","d5_earlyiN",4.283921772,"iN3","5"
"188","1_iN3_C65","d5_earlyiN",7.012009901,"iN3","5"
"189","1_iN3_C67","d5_intermediate",0,"iN3","5"
"190","1_iN3_C69","d5_earlyiN",6.101187815,"iN3","5"
"191","1_iN3_C76","d5_earlyiN",0,"iN3","5"
"192","1_iN3_C77","d5_intermediate",0,"iN3","5"
"193","1_iN3_C94","d5_intermediate",0,"iN3","5"
"194","1?ggL_iN4_C14","Neuron",9.845145017,"iN4","22"
"195","1?ggM_iN4_C11","Neuron",9.223205318,"iN4","22"
"196","1DgL_iN4_C45","Myocyte",9.264184534,"iN4","22"
"197","1dQ_iN2_C95","MEF",0,"iN2","0"
"198","1ggL_iN4_C01","Neuron",8.722261082,"iN4","22"
"199","1ggL_iN4_C04","Neuron",9.190170369,"iN4","22"
"200","1ggL_iN4_C15","Neuron",9.605498038,"iN4","22"
"201","1ggL_iN4_C17","Neuron",9.443875971,"iN4","22"
"202","1ggL_iN4_C18","Neuron",10.02038274,"iN4","22"
"203","1ggL_iN4_C19","Neuron",9.432186925,"iN4","22"
"204","1ggL_iN4_C26","Neuron",8.438168074,"iN4","22"
"205","1ggL_iN4_C29","Neuron",9.07585348,"iN4","22"
"206","1ggL_iN4_C41","Myocyte",8.565559097,"iN4","22"
"207","1ggL_iN4_C50","Neuron",9.22054762,"iN4","22"
"208","1ggL_iN4_C61","Neuron",9.625069533,"iN4","22"
"209","1ggL_iN4_C64","Neuron",9.097584462,"iN4","22"
"210","1ggL_iN4_C70","Neuron",9.613494819,"iN4","22"
"211","1ggL_iN4_C77","Neuron",9.580202027,"iN4","22"
"212","1ggL_iN4_C78","Neuron",8.997066545,"iN4","22"
"213","1ggL_iN4_C82","Myocyte",8.866537121,"iN4","22"
"214","1ggL_iN4_C89","Neuron",9.390319453,"iN4","22"
"215","1ggL_iN4_C90","Neuron",9.358277568,"iN4","22"
"216","1ggL_iN4_C94","Neuron",8.914684105,"iN4","22"
"217","1ggM_iN4_C08","Neuron",8.442736197,"iN4","22"
"218","1ggM_iN4_C12","Neuron",9.226436278,"iN4","22"
"219","1ggM_iN4_C28","Neuron",8.280167588,"iN4","22"
"220","1ggM_iN4_C32","Neuron",9.243864217,"iN4","22"
"221","1ggM_iN4_C38","Neuron",8.941839917,"iN4","22"
"222","1ggM_iN4_C43","Neuron",8.267254872,"iN4","22"
"223","1ggM_iN4_C51","Myocyte",8.409051439,"iN4","22"
"224","1ggM_iN4_C65","Neuron",9.48599027,"iN4","22"
"225","1ggM_iN4_C72","Neuron",8.986211811,"iN4","22"
"226","1ggM_iN4_C76","Neuron",8.883070904,"iN4","22"
"227","1ggM_iN4_C83","Neuron",8.956376157,"iN4","22"
"228","1ggM_iN4_C85","Neuron",8.961102364,"iN4","22"
"229","1ggS_iN4_C10","Myocyte",7.574555686,"iN4","22"
"230","1ggS_iN4_C13","Neuron",7.778142854,"iN4","22"
"231","1ggS_iN4_C67","Neuron",7.971601031,"iN4","22"
"232","1gL_iN4_C39","Myocyte",9.305879347,"iN4","22"
"233","701_502_1_MEF2_A1_C03","d2_induced",0,"iN5","2"
"234","701_502_1gg_22d1_C25","Myocyte",8.601109634,"iN7","22"
"235","701_503_1_MEF2_B1_C09","d2_induced",0,"iN5","2"
"236","701_503_1wg_22d2_C09","Myocyte",6.259762092,"iN8","22"
"237","701_505_1_MEF2_C1_C15","d2_induced",0,"iN5","2"
"238","701_506_1_MEF2_D1_C21","d2_induced",0,"iN5","2"
"239","701_507_1_MEF2_E1_C25","d2_induced",0,"iN5","2"
"240","701_507_1gg_22d2_C25","Myocyte",8.797706913,"iN8","22"
"241","701_508_1_MEF2_F1_C31","d2_induced",0,"iN5","2"
"242","701_510_1_MEF2_G1_C37","d2_induced",0,"iN5","2"
"243","701_510_1g_22d1_C37","Myocyte",7.035557931,"iN7","22"
"244","701_511_1_MEF2_H1_C43","d2_induced",0,"iN5","2"
"245","701_513_1_Ascl1_20d_F10_C84","Myocyte",8.599198755,"iN6","20"
"246","701_515_1_Ascl1_20d_B1_C09","Myocyte",7.827285535,"iN6","20"
"247","701_521_1_Ascl1_20d_G1_C37","Myocyte",9.644901765,"iN6","20"
"248","702_502_1_MEF2_A2_C02","d2_induced",0,"iN5","2"
"249","702_502_1g_22d2_C02","Myocyte",7.323568228,"iN8","22"
"250","702_503_1_MEF2_B2_C08","d2_induced",0,"iN5","2"
"251","702_505_1_MEF2_C2_C14","d2_induced",0,"iN5","2"
"252","702_506_1_MEF2_D2_C20","d2_induced",0,"iN5","2"
"253","702_506_1g_22d1_C14","Myocyte",6.986183363,"iN7","22"
"254","702_507_1_MEF2_D9_C22","d2_induced",0,"iN5","2"
"255","702_507_1g_22d2_C26","Myocyte",8.456609046,"iN8","22"
"256","702_508_1_MEF2_E9_C30","d2_induced",0,"iN5","2"
"257","702_508_1n_22d2_C32","Myocyte",6.66732447,"iN8","22"
"258","702_510_1_MEF2_G2_C38","d2_induced",0,"iN5","2"
"259","702_511_1_MEF2_H2_C44","d2_induced",0,"iN5","2"
"260","702_511_1gg_22d1_C20","Myocyte",7.580778636,"iN7","22"
"261","702_517_1_Ascl1_20d_G11_C89","Myocyte",8.797564262,"iN6","20"
"262","702_522_1_Ascl1_20d_H10_C96","Myocyte",8.37029508,"iN6","20"
"263","703_502_1_MEF2_A3_C01","d2_induced",0,"iN5","2"
"264","703_503_1_MEF2_B3_C07","d2_induced",0,"iN5","2"
"265","703_503_1g_22d2_C07","Myocyte",7.484524861,"iN8","22"
"266","703_505_1_MEF2_C3_C13","d2_induced",0,"iN5","2"
"267","703_506_1_MEF2_D3_C19","d2_induced",0,"iN5","2"
"268","703_506_1g_22d1_C38","Myocyte",6.88757401,"iN7","22"
"269","703_507_1_MEF2_E3_C27","d2_induced",0,"iN5","2"
"270","703_507_1wg_22d1_C07","Myocyte",5.776788316,"iN7","22"
"271","703_508_1_MEF2_F3_C33","d2_induced",0,"iN5","2"
"272","703_508_1gg_22d1_C13","Myocyte",9.43999706,"iN7","22"
"273","703_510_1_MEF2_B9_C10","d2_induced",0,"iN5","2"
"274","703_511_1_MEF2_H3_C45","d2_induced",0,"iN5","2"
"275","703_511_1g_22d1_C19","Myocyte",6.684762644,"iN7","22"
"276","703_520_1_Ascl1_20d_B12_C60","Myocyte",8.394479844,"iN6","20"
"277","703_522_1_Ascl1_20d_H12_C94","Myocyte",7.881835892,"iN6","20"
"278","704_502_1_MEF2_A4_C49","d2_induced",0,"iN5","2"
"279","704_502_1wg_22d2_C49","Myocyte",6.160032748,"iN8","22"
"280","704_506_1wg_22d2_C67","Myocyte",6.917765895,"iN8","22"
"281","704_507_1g_22d1_C39","Myocyte",7.234079732,"iN7","22"
"282","704_517_1_Ascl1_20d_D4_C67","Myocyte",7.757276656,"iN6","20"
"283","704_520_1_Ascl1_20d_F4_C81","Myocyte",7.829177262,"iN6","20"
"284","704_521_1_Ascl1_20d_G4_C87","Myocyte",8.586014083,"iN6","20"
"285","705_502_1_MEF2_A5_C50","d2_induced",0,"iN5","2"
"286","705_502_1gg_22d1_C56","Myocyte",7.8717451,"iN7","22"
"287","705_503_1_MEF2_B5_C56","d2_induced",0,"iN5","2"
"288","705_503_1gg_22d2_C56","Myocyte",8.135062814,"iN8","22"
"289","705_505_1_MEF2_C5_C62","d2_induced",0,"iN5","2"
"290","705_506_1_MEF2_D5_C68","d2_induced",0,"iN5","2"
"291","705_506_1g_22d2_C68","Myocyte",8.041648201,"iN8","22"
"292","705_507_1_MEF2_B11_C59","d2_induced",0,"iN5","2"
"293","705_507_1gg_22d2_C74","Myocyte",7.926675523,"iN8","22"
"294","705_508_1_MEF2_C11_C65","d2_induced",0,"iN5","2"
"295","705_510_1_MEF2_D11_C71","d2_induced",0,"iN5","2"
"296","705_511_1_MEF2_E10_C78","d2_induced",0,"iN5","2"
"297","705_513_1_Ascl1_20d_A5_C50","Myocyte",8.091541171,"iN6","20"
"298","705_515_1_Ascl1_20d_F12_C82","Myocyte",8.87975477,"iN6","20"
"299","705_516_1_Ascl1_20d_C5_C62","Myocyte",8.633816246,"iN6","20"
"300","705_521_1_Ascl1_20d_D11_C71","Myocyte",8.294979081,"iN6","20"
"301","706_502_1_MEF2_A6_C51","d2_induced",0,"iN5","2"
"302","706_503_1_MEF2_B6_C57","d2_induced",0,"iN5","2"
"303","706_503_1gg_22d2_C57","Myocyte",7.864000378,"iN8","22"
"304","706_505_1_MEF2_C6_C63","d2_induced",0,"iN5","2"
"305","706_506_1_MEF2_D6_C69","d2_induced",0,"iN5","2"
"306","706_506_1wg_22d2_C69","Myocyte",6.783744746,"iN8","22"
"307","706_507_1_MEF2_A12_C54","d2_induced",0,"iN5","2"
"308","706_508_1_MEF2_F6_C79","d2_induced",0,"iN5","2"
"309","706_508_1g_22d1_C73","Myocyte",7.810558782,"iN7","22"
"310","706_510_1_MEF2_C12_C66","d2_induced",0,"iN5","2"
"311","706_510_1g_22d1_C85","Myocyte",7.359363033,"iN7","22"
"312","706_511_1_MEF2_E12_C76","d2_induced",0,"iN5","2"
"313","706_511_1gg_22d1_C06","Myocyte",7.833282273,"iN7","22"
"314","707_502_1_MEF2_A8_C05","d2_induced",0,"iN5","2"
"315","707_502_1g_22d1_C12","Myocyte",7.169965076,"iN7","22"
"316","707_503_1_MEF2_B8_C11","d2_induced",0,"iN5","2"
"317","707_503_1g_22d1_C18","Myocyte",6.441118245,"iN7","22"
"318","707_505_1_MEF2_C8_C17","d2_induced",0,"iN5","2"
"319","707_506_1_MEF2_D8_C23","d2_induced",0,"iN5","2"
"320","707_506_1g_22d2_C24","Myocyte",8.016418317,"iN8","22"
"321","707_507_1_MEF2_E8_C29","d2_induced",0,"iN5","2"
"322","707_507_1g_22d1_C28","Myocyte",7.544454475,"iN7","22"
"323","707_508_1_MEF2_F8_C35","d2_induced",0,"iN5","2"
"324","707_510_1g_22d2_C40","Myocyte",8.727797956,"iN8","22"
"325","707_511_1questionmarkgg_22d2_C46","Myocyte",8.806214485,"iN8","22"
"326","707_515_1_Ascl1_20d_B7_C12","Myocyte",8.920614869,"iN6","20"
"327","707_520_1_Ascl1_20d_A10_C52","Myocyte",7.707676628,"iN6","20"
"328","707_522_1_Ascl1_20d_C10_C64","Myocyte",8.270837257,"iN6","20"
"329","710_502_1bg_22d2_C05","Myocyte",9.589673615,"iN8","22"
"330","710_505_1gposdquestionmark_22d2_C17","Myocyte",8.688054439,"iN8","22"
"331","710_506_1gg_22d1_C11","Myocyte",8.288035507,"iN7","22"
"332","710_507_1wg_22d1_C23","Myocyte",6.872163883,"iN7","22"
"333","710_508_1g_22d1_C29","Myocyte",6.955545297,"iN7","22"
"334","710_510_1g_22d2_C41","Myocyte",7.548467451,"iN8","22"
"335","711_502_1gg_22d1_C35","Myocyte",7.795987677,"iN7","22"
"336","711_503_1gg_22d2_C10","Myocyte",8.12747852,"iN8","22"
"337","711_505_1g_22d1_C47","Myocyte",7.273236126,"iN7","22"
"338","711_506_1g_22d2_C22","Myocyte",7.618517651,"iN8","22"
"339","711_507_1gg_22d1_C16","Myocyte",7.328854412,"iN7","22"
"340","711_508_1gg_22d1_C36","Myocyte",8.998156005,"iN7","22"
"341","711_510_1wg_22d2_C42","Myocyte",6.703128392,"iN8","22"
"342","711_511_1gg_22d1_C42","Myocyte",8.30415507,"iN7","22"
"343","712_502_1g_22d2_C52","Myocyte",7.460644284,"iN8","22"
"344","712_503_1gg_22d2_C58","Myocyte",8.135124395,"iN8","22"
"345","712_505_1gg_22d1_C52","Myocyte",6.471577677,"iN7","22"
"346","712_506_1g_22d2_C70","Myocyte",8.174376455,"iN8","22"
"347","712_507_1gquestionmark_22d2_C78","Myocyte",8.798108854,"iN8","22"
"348","712_508_1g_22d1_C71","Myocyte",6.717265145,"iN7","22"
"349","714_503_1g_22d1_C83","Myocyte",6.904170958,"iN7","22"
"350","714_505_1wg_22d2_C65","Myocyte",6.274224382,"iN8","22"
"351","714_506_1g_22d1_C54","Myocyte",7.109088879,"iN7","22"
"352","714_507_1g_22d1_C60","Myocyte",7.191187558,"iN7","22"
"353","714_508_1g_22d1_C72","Myocyte",7.124741692,"iN7","22"
"354","715_506_1gg_22d2_C72","Myocyte",8.333423734,"iN8","22"
"355","715_507_1gg_22d2_C76","Myocyte",8.768587958,"iN8","22"
